*font-awesome.txt*  Nerd Font Cheatsheets - Font Awesome

===============================================================================
																*font-awesome*
Nerd Font - Font Awesome ~

| Decimal | Unicode | Glyph |
| 61724   | \uf11c  |      | *nerdfont-61724* *nerdfont-uf11c* *nerdfont-*
| 61725   | \uf11d  |      | *nerdfont-61725* *nerdfont-uf11d* *nerdfont-*
| 61726   | \uf11e  |      | *nerdfont-61726* *nerdfont-uf11e* *nerdfont-*
| 61728   | \uf120  |      | *nerdfont-61728* *nerdfont-uf120* *nerdfont-*
| 61729   | \uf121  |      | *nerdfont-61729* *nerdfont-uf121* *nerdfont-*
| 61730   | \uf122  |      | *nerdfont-61730* *nerdfont-uf122* *nerdfont-*
| 61731   | \uf123  |      | *nerdfont-61731* *nerdfont-uf123* *nerdfont-*
| 61732   | \uf124  |      | *nerdfont-61732* *nerdfont-uf124* *nerdfont-*
| 61733   | \uf125  |      | *nerdfont-61733* *nerdfont-uf125* *nerdfont-*
| 61734   | \uf126  |      | *nerdfont-61734* *nerdfont-uf126* *nerdfont-*
| 61735   | \uf127  |      | *nerdfont-61735* *nerdfont-uf127* *nerdfont-*
| 61736   | \uf128  |      | *nerdfont-61736* *nerdfont-uf128* *nerdfont-*
| 61737   | \uf129  |      | *nerdfont-61737* *nerdfont-uf129* *nerdfont-*
| 61738   | \uf12a  |      | *nerdfont-61738* *nerdfont-uf12a* *nerdfont-*
| 61739   | \uf12b  |      | *nerdfont-61739* *nerdfont-uf12b* *nerdfont-*
| 61740   | \uf12c  |      | *nerdfont-61740* *nerdfont-uf12c* *nerdfont-*
| 61741   | \uf12d  |      | *nerdfont-61741* *nerdfont-uf12d* *nerdfont-*
| 61742   | \uf12e  |      | *nerdfont-61742* *nerdfont-uf12e* *nerdfont-*
| 61744   | \uf130  |      | *nerdfont-61744* *nerdfont-uf130* *nerdfont-*
| 61745   | \uf131  |      | *nerdfont-61745* *nerdfont-uf131* *nerdfont-*
| 61746   | \uf132  |      | *nerdfont-61746* *nerdfont-uf132* *nerdfont-*
| 61747   | \uf133  |      | *nerdfont-61747* *nerdfont-uf133* *nerdfont-*
| 61748   | \uf134  |      | *nerdfont-61748* *nerdfont-uf134* *nerdfont-*
| 61749   | \uf135  |      | *nerdfont-61749* *nerdfont-uf135* *nerdfont-*
| 61750   | \uf136  |      | *nerdfont-61750* *nerdfont-uf136* *nerdfont-*
| 61751   | \uf137  |      | *nerdfont-61751* *nerdfont-uf137* *nerdfont-*
| 61752   | \uf138  |      | *nerdfont-61752* *nerdfont-uf138* *nerdfont-*
| 61753   | \uf139  |      | *nerdfont-61753* *nerdfont-uf139* *nerdfont-*
| 61754   | \uf13a  |      | *nerdfont-61754* *nerdfont-uf13a* *nerdfont-*
| 61755   | \uf13b  |      | *nerdfont-61755* *nerdfont-uf13b* *nerdfont-*
| 61756   | \uf13c  |      | *nerdfont-61756* *nerdfont-uf13c* *nerdfont-*
| 61757   | \uf13d  |      | *nerdfont-61757* *nerdfont-uf13d* *nerdfont-*
| 61758   | \uf13e  |      | *nerdfont-61758* *nerdfont-uf13e* *nerdfont-*
| 61760   | \uf140  |      | *nerdfont-61760* *nerdfont-uf140* *nerdfont-*
| 61761   | \uf141  |      | *nerdfont-61761* *nerdfont-uf141* *nerdfont-*
| 61762   | \uf142  |      | *nerdfont-61762* *nerdfont-uf142* *nerdfont-*
| 61763   | \uf143  |      | *nerdfont-61763* *nerdfont-uf143* *nerdfont-*
| 61764   | \uf144  |      | *nerdfont-61764* *nerdfont-uf144* *nerdfont-*
| 61765   | \uf145  |      | *nerdfont-61765* *nerdfont-uf145* *nerdfont-*
| 61766   | \uf146  |      | *nerdfont-61766* *nerdfont-uf146* *nerdfont-*
| 61767   | \uf147  |      | *nerdfont-61767* *nerdfont-uf147* *nerdfont-*
| 61768   | \uf148  |      | *nerdfont-61768* *nerdfont-uf148* *nerdfont-*
| 61769   | \uf149  |      | *nerdfont-61769* *nerdfont-uf149* *nerdfont-*
| 61770   | \uf14a  |      | *nerdfont-61770* *nerdfont-uf14a* *nerdfont-*
